City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
160,Port Hardy,CA,50.6996,-127.4199,59.18,82,75,3.44,broken clouds
161,Tukrah,LY,32.5341,20.5791,77.4,72,3,14.45,clear sky
162,Luwuk,ID,-0.9516,122.7875,79.81,82,99,3.02,overcast clouds
163,Pointe Michel,DM,15.25,-61.3833,79.09,78,100,8.93,light rain
164,Honiara,SB,-9.4333,159.95,86.56,63,17,5.14,few clouds
165,Taltal,CL,-25.4,-70.4833,61.3,61,15,2.84,few clouds
166,Camacha,PT,33.0833,-16.3333,67.42,83,20,4.61,few clouds
167,Port Pirie,AU,-33.1833,138.0167,61.32,41,0,5.82,clear sky
168,Hofn,IS,64.2539,-15.2082,52.68,77,57,10.76,broken clouds
169,Airai,TL,-8.9266,125.4092,68.86,46,70,2.28,broken clouds
170,Lavrentiya,RU,65.5833,-171.0,43.38,98,100,2.59,overcast clouds
171,Rio Grande,BR,-32.035,-52.0986,55.94,89,10,10.56,clear sky
172,Jardim,BR,-21.4803,-56.1381,70.03,67,76,7.09,broken clouds
173,Waipawa,NZ,-41.4122,175.5153,42.67,63,96,14.85,overcast clouds
174,Artyom,AZ,40.4723,50.333,68.14,74,94,29.51,overcast clouds
175,Pevek,RU,69.7008,170.3133,33.17,93,100,5.32,overcast clouds
176,Avera,US,33.194,-82.5271,82.38,79,100,0.85,overcast clouds
177,Clyde River,CA,70.4692,-68.5914,37.63,93,100,6.91,overcast clouds
178,Butterworth,MY,5.3991,100.3638,80.01,93,20,3.44,few clouds
179,Kloulklubed,PW,7.0419,134.2556,82.9,73,70,8.46,broken clouds
180,Vestmanna,FO,62.1564,-7.1664,54.52,94,100,14.97,light rain
181,Namatanai,PG,-3.6667,152.4333,84.96,63,86,7.34,overcast clouds
182,Monki,PL,53.405,22.7979,40.68,70,33,4.63,scattered clouds
183,Ngunguru,NZ,-35.6167,174.5,55.31,52,52,5.75,broken clouds
184,Riviere-Au-Renard,CA,48.9957,-64.3971,53.89,60,46,5.99,scattered clouds
185,Kodiak,US,57.79,-152.4072,60.31,67,100,0.0,overcast clouds
186,New Plymouth,NZ,-39.0667,174.0833,54.81,55,32,8.95,scattered clouds
187,Faanui,PF,-16.4833,-151.75,78.28,73,25,14.52,scattered clouds
