City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
157,Albany,US,2022-09-02 05:00:17,42.6001,-73.9662,56.03,79,0,4.0
158,Bengkulu,ID,2022-09-02 05:03:36,-3.8004,102.2655,79.02,79,100,12.28
159,Muroto,JP,2022-09-02 05:03:36,33.2833,134.15,81.82,79,66,13.2
160,Pitimbu,BR,2022-09-02 05:03:36,-7.4706,-34.8086,73.35,85,51,13.27
161,Jizan,SA,2022-09-02 05:03:37,17.3333,42.6667,88.65,70,1,3.91
162,Ouadda,CF,2022-09-02 05:03:37,8.0777,22.4007,65.84,98,92,2.8
163,Luderitz,NA,2022-09-02 04:59:38,-26.6481,15.1594,53.65,95,1,6.51
164,Cabo San Lucas,MX,2022-09-02 05:00:07,22.8909,-109.9124,83.52,85,100,8.01
165,San Cristobal,VE,2022-09-02 05:03:37,7.7669,-72.225,65.95,97,51,1.83
166,Dunedin,NZ,2022-09-02 05:03:37,-45.8742,170.5036,53.8,77,100,1.01
167,Mora,CM,2022-09-02 05:03:38,11.0461,14.1401,71.19,93,100,2.75
168,Mayumba,GA,2022-09-02 05:03:38,-3.432,10.6554,73.35,83,78,3.42
169,Gawler,AU,2022-09-02 05:00:13,-34.6,138.7333,57.25,68,9,11.61
170,San Jose De Guanipa,VE,2022-09-02 05:03:38,8.8872,-64.1651,74.14,88,68,4.29
171,Pinega,RU,2022-09-02 05:03:39,64.7001,43.3936,40.51,97,100,10.8
172,Merauke,ID,2022-09-02 05:03:39,-8.4667,140.3333,80.62,82,98,12.68
173,La Paz,BO,2022-09-02 05:02:32,-16.5,-68.15,44.06,76,1,3.67
174,Partizanskoye,RU,2022-09-02 05:03:39,55.5006,94.39,69.21,59,100,19.24
175,Deputatskiy,RU,2022-09-02 05:03:40,69.3,139.9,34.93,98,100,3.42
176,Necochea,AR,2022-09-02 05:03:40,-38.5473,-58.7368,47.23,80,93,16.84
177,Tiszaeszlar,HU,2022-09-02 05:03:40,48.05,21.4667,58.84,51,99,10.58
178,Souillac,MU,2022-09-02 05:03:41,-20.5167,57.5167,71.11,66,62,14.23
179,Varca,IN,2022-09-02 05:03:41,15.2167,73.9167,84.42,76,84,6.8
180,Kruisfontein,ZA,2022-09-02 05:03:41,-34.0033,24.7314,56.88,84,92,11.3
181,Varzelandia,BR,2022-09-02 05:04:42,-15.7014,-44.0275,58.6,67,0,8.1
182,Gaziantep,TR,2022-09-02 05:04:42,37.0594,37.3825,80.53,34,0,0.0
